de;fr;it;en;carbohydrates, available;energy;fat;fatty saturated;fiber;proteins;salt;sodium;sugars
Kaffeerahm;Crème à café UHT;Panna da caffè UHT;Coffee cream UHT;4;165;15;9;0;2,7;11;77;3,8
Kakaopulver;Cacao en poudre;Cacao in polvere;Cocoa powder;11;410;25;14,4;32,7;19,8;2,8;17;2,2
Kaki, roh;Kaki, cru;Cachi, crudo;Kaki, raw;15;75;0;0;2,5;0,7;1;2;15,3
Kalb, Brust, gekocht (ohne Zugabe von Fett und Salz);Veau, poitrine, cuite (sans adjonction de graisse ni de sel);Vitello, petto, cotto (senza aggiunta di grassi e sale);Veal, breast, cooked (without addition of fat and salt);0;295;21;8,9;0;26,1;2,7;41;0
Kalb, Brust, roh;Veau, poitrine, crue;Vitello, petto, crudo;Veal, breast, raw;0;205;15;6,2;0;18,3;1,9;64;0
Kalb, Eckstück, roh;Veau, noix, escalope, crue;Vitello, scaloppina, cruda;Veal, round, schnitzel, raw;0;105;2;0,4;0;22,2;0,1;64;0
Kalb, Filet, roh;Veau, filet, cru;Vitello, filetto, crudo;Veal, filet, raw;0;120;4;1,3;0;21,2;0,1;91;0
Kalb, Gehacktes, roh;Veau, haché, cru;Vitello, macinato, crudo;Veal, minced, raw;0;105;2;1,2;0;20,5;1,9;57;0
Kalb, Geschnetzeltes, roh;Veau, émincé, cru;Vitello, sminuzzato, crudo;Veal, chopped, raw;0;100;1;0,5;0;22;1,9;51;0
Kalb, Haxe, roh;Veau, jarret, cru;Vitello, geretto crudo;Veal, knuckle, raw;0;125;4;1,4;0;20,7;0,1;62;0
Kalb, Kotelett, roh;Veau, côtelette, crue;Vitello, costoletta, cruda;Veal, chop, raw;0;165;9;3,6;0;20,7;0,1;51;0
Kalb, Leber, roh;Veau, foie, cru;Vitello, fegato, crudo;Veal, liver, raw;5;135;4;1,3;0;19,6;4,3;68;0
Kalb, Milken, roh;Veau, ris, cru;Vitello, animella, cruda;Veal, sweetbread, raw;0;100;3;1,3;0;17,2;4;83;0
Kalb, Niere, roh;Veau, rognon, cru;Rognone di vitello, crudo;Veal, kidney, raw;1;115;5;2,2;0;15,8;4,2;180;0
Kalb, Nierstück, Steak, roh;Veau, filet, steak, cru;Vitello, bistecca, cruda;Veal, filet, steak, raw;0;115;2;1,1;0;22,8;3,5;44;0
Kalb, Runder Mocken, roh;Veau, pièce ronde, tranche, cru;Vitello, girello, cruda;Veal, eye of round, raw;0;105;2;0,8;0;21,9;1,8;43;0
Kalb, Schulter, Braten, im Ofen gebraten (ohne Zugabe von Fett und Salz);Veau, épaule, rôti, cuit au four (sans adjonction de graisse ni de sel);Vitello, arrosto di spalla, cotto al forno (senza aggiunta di grassi e sale);Veal, shoulder, roast in oven (without addition of fat and salt);0;185;7;2,1;0;30,1;0,1;120;0
Kalb, Schulter, Braten, roh;Veau, épaule, rôti, crue;Vitello, spalla, arrosto, crudo;Veal, shoulder, roast, raw;0;125;5;1,4;0;20,2;0,1;91;0
Kalb, Voressen, roh;Veau, ragoût, cru;Vitello, spezzatino, crudo;Veal, ragout, raw;0;105;2;1,1;0;20;0,8;57;0
Kalb, Zunge, roh;Veau, langue, crue;Vitello, lingua, cruda;Veal, tongue, raw;2;185;12;4,2;0;17,2;2,3;86;0
Kalbfleisch (Durchschnitt exkl. Innereien, Kotelett), roh;Viande de veau (moyenne sans abats ni côtelette), crue;Carne di vitello (in media, escluse le interiora e la cotoletta), cruda;Veal (average excluding offal, chop), raw;0;130;5;1,9;0;21,1;1,2;66;0
Kalbsbratwurst;Saucisse de veau;Salsiccia di vitello ;Sausage, veal;1;230;19;7,9;0;12,5;;760;1,2
Kalbspiccata, zubereitet;Piccata de veau, préparée;Piccata di vitello, preparata;Veal piccata, prepared;6;225;12;3;0,3;23,3;12;340;0,1
Kalbsplätzli, gebraten in HOLL-Rapsöl;Escalope de veau, grillée au colza HOLL;Scaloppina di vitello, cotta in olio di colza HOLL;Veal schnitzel, pan fried in rapeseed oil HOLL;0;200;9;1;0;28,2;0,3;390;0
Kalbsragout mit Sauce, zubereitet;Ragoût de veau avec sauce, préparé;Ragù di vitello con salsa, preparato;Veal ragout with gravy, prepared;3;95;4;0,8;0,6;11,6;1;300;1,5
Kalmar, roh;Calamar, cru;Calamaro, crudo;Squid, raw;2;85;1;0,2;0;16;20;160;0
Kaninchen (Durchschnitt), roh;Lapin (moyenne), cru;Coniglio (in media), crudo ;Hare, meat, raw;0;150;8;2,5;0;20,5;0,6;45;0
Kaninchen, Filet, roh;Lapin, filet, cru;Coniglio, filetto, crudo;Hare, filet, raw;0;115;2;0,5;0;24,3;4,1;33;0
Karotte, gedämpft (ohne Zugabe von Salz);Carotte, à la vapeur (sans adjonction de sel);Carota, al vapore (senza aggiunta di sale);Carrot, steamed (without addition of salt);7;45;0;0;2,9;0,9;1,7;25;7,1
Karotte, roh;Carotte, crue;Carota, cruda;Carrot, raw;7;40;0;0;2,6;0,8;1,6;28;6,4
Karottensaft;Jus de carotte;Succo di carota;Carrot juice;7;35;0;0;0,9;0,7;15;35;4,8
Kartoffel, geschält, gedämpft (ohne Zugabe von Salz);Pomme de terre, épluchée, à la vapeur (sans adjonction de sel);Patate, pelate, al vapore (senza aggiunta di sale);Potatoe, peeled, steamed (without addition of salt);16;80;0;0;2,1;2;3,9;2,8;0,7
Kartoffel, geschält, roh;Pomme de terre, épluchée, crue;Patate, pelate, crude;Potato, peeled, raw;16;80;0;0;2,1;2;4;3;0,7
Kartoffelflocken, mit Milchpulver und Salz (Instant-Kartoffelstock);Flocons de pomme de terre, avec poudre de lait et sel (purée instantanée);Fiocchi di patate, in polvere con latte e sale (purea istantanea);Potato flakes, with milk powder and salt (instant mashed potatoes);66;370;5;3,1;4,7;11,3;6;1260;10,3
Kartoffelgratin dauphinois, zubereitet;Gratin de pommes de terre dauphinois, préparé;Patate al gratin dauphinois, preparate;Potatoes au gratin dauphinois, prepared;11;130;8;4,6;1,3;2,6;6,4;130;2,4
Kartoffelgratin Savoyer Art, zubereitet;Gratin de pommes de terre savoyard, préparé;Patate al gratin savoyard, preparate;Potatoes au gratin savoyard, prepared;11;75;2;1,3;1,4;2,2;5;150;0,5
Kartoffelsalat mit Essig-Öl-Sauce;Salade de pommes de terre, sauce au vinaigre et huile;Insalata di patate con salsa aceto-olio;Potato salad with oil and vinagre dressing;13;100;4;0,3;1,7;1,7;3,6;61;0,6
Kartoffelsalat mit Mayonnaise-Joghurt-Sauce;Salade de pommes de terre (sauce mayonnaise et yogourt);Insalata di patate (salsa di maionese e yogurt);Potato salad with mayonnaise yogurt dressing;13;85;2;0,4;1,6;1,8;4,1;70;0,7
Kartoffelstärke;Fécule de pommes de terre;Fecola di patate;Potato starch;83;340;0;0;0,1;0,6;1;8;0
Kartoffelstock, zubereitet (mit Rahm und Butter);Purée de pommes de terre, préparée (avec de la crème et du beurre);Purea di patate, preparata (con panna e burro);Mashed potatoes, prepared (with cream and butter);13;140;8;5;1,7;2;4,2;55;1,1
Kartoffelstock, zubereitet (mit teilentrahmter Milch und Butter);Purée de pommes de terre, préparée (avec du lait partiellement écrémeé et du beurre);Purea di patate, preparata (con latte parzialmente scremato e burro);Mashed potatoes, prepared (with partially skimmed milk and butter);14;90;3;1,5;1,7;2,2;4,7;58;1,4
Kartoffelstock, zubereitet (mit Vollmilch und Butter);Purée de pommes de terre, préparée (avec du lait entier et du beurre);Purea di patate, preparata (con latte intero e burro);Mashed potatoes, prepared (with full fat milk and butter);14;95;3;1,6;1,7;2,2;4,8;58;1,4
Käse in Salzlake (Kuhmilch);Feta (lait de vache);Formaggio in salamoia (di latte di mucca);Feta, cow milk;1;265;21;12,4;0;17,5;0;1500;1,4
Käse in Salzlake (Schaf- und Ziegenmilch);Feta (lait de brebis et chèvre);Formaggio in salamoia (di latte di pecora e capra);Feta, ewe-/goat milk;2;245;19;12,1;0;17;0;1300;0
Käsekuchen, gebacken (mit Blätterteig);Gateau au fromage, cuit au four (pâte feuilletée);Torta al formaggio, cotta nel forno (pasta sfoglia);Savoury cheese quiche, baked (with puff pastry);12;305;22;12,4;0,5;14,4;12;370;1,2
Käsekuchen, gebacken (mit Kuchenteig);Gateau au fromage, cuit au four (pâte à gateau);Torta al formaggio, cotta nel forno (pasta per torta);Savoury cheese quiche, baked (with cake dough);15;295;19;10,7;0,6;14,9;12;380;1,2
Käsereibutter;Beurre de fromagerie;Burro del caseificio;Butter, cheese dairy;1;750;83;49,5;0;0,4;0;10;0,5
Käseschnitte, zubereitet;Croûte au fromage, préparée;Crostone al formaggio, preparato;Cheese bread slices, prepared;26;275;12;6,2;2,3;14,8;15;540;1
Kebab im Fladenbrot;Kebab en fougasse;Kebab in schiacciata;Kebab in pita bread;9;105;4;0,9;1;7,6;3,4;160;2,5
Kefe, gedämpft (ohne Zugabe von Salz);Pois mange-tout, à la vapeur (sans adjonction de sel);Taccole, al vapore (senza aggiunta di sale);Sugar pea, steamed (without addition of salt);11;80;0;0;5,7;4,6;4,3;3,9;5,7
Kefe, roh;Pois mange-tout, cru;Taccole, crude;Sugar pea, raw;10;70;0;0;5;4;4;4;5
Ketchup;Ketchup;Ketchup;Ketchup;26;120;0;0,1;0,9;2;0,9;1120;24,8
Kichererbse, gekocht (ohne Zugabe von Fett und Salz);Pois chiche, cuit (sans adjonction de graisse ni de sel);Ceci, cotti (senza aggiunta di grassi e sale);Chickpea, cooked (without addition of fat and salt);18;135;2;0,2;6,2;7,4;0,2;3,2;1
Kichererbse, getrocknet;Pois chiche, sec;Ceci, secchi;Chickpea, dried;44;330;5;0,6;15,5;18,6;0,6;8,6;2,4
Kirsch;Eau-de-vie de cerises (Kirsch);Acquavite di ciliege (Kirsch);Spirits, Kirsch, Cherry Schnaps;0;245;0;0;0;0;0;0;0
Kirsche, gedünstet, abgetropft (ohne Zugabe von Zucker);Cerise, cuite,  égouttée (sans adjonction de sucre);Ciliegie, cotte, sgocciolate (senza aggiunta di zuccheri);Cherry, stewed, drained (without addition of sugar);18;90;1;0,1;2;1,5;1,2;3,4;17,6
Kirsche, roh;Cerise, crue;Ciliegie, crude;Cherry, raw;15;75;1;0,1;1,7;1,3;1;3;15,3
Kirschenkuchen, gebacken (mit Blätterteig);Tarte aux cerises, cuite au four (pâte feuilletée);Torta di cilieghe, cotta nel forno (pasta sfoglia);Cherry pie, baked (with puff pastry);19;155;7;3,9;1,4;3;3,2;94;12
Kirschenkuchen, gebacken (mit Kuchenteig);Tarte aux cerises, cuite au four (pâte à gateau);Torta di cilieghe, cotta nel forno (pasta per torta);Cherry pie, baked (with cake dough);21;150;5;2,6;1,6;3,4;3,2;100;12
Kiwi, roh;Kiwi, cru;Kiwi, crudo;Kiwi fruit, raw;10;55;1;0;2,5;1,1;1;4;9,8
Knäckebrot, Vollkorn;Pain croustillant, au blé entier;Pane croccante integrale;Crispbread, wholemeal;62;330;2;0,2;10;10,4;41;590;0,8
Knäckebrot, Vollkorn mit Leinsamen;Pain croustillant, au blé entier, au grains de lin;Pane croccante integrale con semi di lino;Crispbread, wholemeal, with linseeds;56;340;5;0,5;12,9;11,8;42;600;0,8
Knäckebrot, Vollkorn mit Sesam;Pain croustillant, au blé entier, au sésame;Pane croccante integrale con semi di sesamo;Crispbread, wholemeal, with sesame;57;355;7;0,9;10,1;11,3;42;590;1,2
Knoblauch, roh;Ail, cru;Aglio, crudo;Garlic, raw;25;140;1;0,1;3;7;2,7;10;2,4
Knollensellerie, gedämpft (ohne Zugabe von Salz);Céleri-rave, à la vapeur (sans adjonction de sel);Sedano rapa, al vapore (senza aggiunta di sale);Celeriac, steamed;3;30;0;0;5,3;1,6;2,5;85;2
Knollensellerie, roh;Céleri-rave, cru;Sedano rapa, crudo;Celeriac, raw;2;30;0;0;5;1,5;2,5;100;1,9
Knöpflimehl;Farine à spätzli;Farina per knöpfli;Spätzle flour;71;350;1;0,2;3,8;12,4;4,2;2,7;0,1
Kochbutter;Beurre de cuisine;Burro da cucina;Cooking butter;1;745;82;49,3;0;0,5;0;10;0,6
Kochpökelware (Durchschnitt);Produits de salaison cuits (moyenne);Carne salmistrata da cuocere (in media);Cooked cured meat (average);1;225;16;6;0;19,8;1,9;1130;0,7
Kochsalz mit Jod;Sel de cuisine avec iode;Sale da cucina con iodo;Table salt iodized;0;0;0;;0;0;2500;39200;
Kochsalz mit Jod und Fluor;Sel de cuisine avec iode et fluor;Sale da cucina con iodo e fluoro;Table salt iodized and fluoridized;0;0;0;;0;0;2500;39900;
Kochsalz ohne Jod und Fluor;Sel de cuisine sans iode ni fluor;Sale da cucina senza iodo e fluoro;Table salt without iodine and fluoride;0;0;0;;0;0;20;39900;
Kochspeck;Lard à cuire, fumé;Pancetta affumicata da cuocere;Bacon for cooking;1;325;28;10,6;0;17,8;1,1;1130;0,6
Kochwürste (Durchschnitt);Produits de charcuterie à chair cuite (moyenne);Salsiccia da cuocere (in media);Cooked sausages (average);1;315;27;10;0,1;15,8;3,9;1030;1,1
Kohlgemüse (Durchschnitt), gekocht (ohne Zugabe von Salz und Fett);Légumes crucifères (famille des choux) moyenne, cuits (sans adjonction de sel ni de graisse);Cavoli (in media), cotti (senza aggiunta di grassi o sale);Cabbage vegetables (average), boiled (without addition of salt and fat);3;30;0;0;2,7;2,2;3;10;2,9
Kohlgemüse (Durchschnitt), roh;Légumes crucifères (famille des choux) moyenne, crus;Cavoli (in media), crudi;Cabbage vegetables (average), raw;3;30;0;0;2,7;2,2;3,2;12;2,9
Kohlrabi, gedämpft (ohne Zugabe von Salz);Chou-pomme, à la vapeur (sans adjonction de sel);Cavolo rapa, al vapore (senza aggiunta di sale);Kohlrabi, steamed (without addition of salt);4;30;0;0;1,6;2,1;0,7;19;4
Kohlrabi, roh;Chou-pomme, cru;Cavolo rapa, crudo;Kohlrabi, raw;4;30;0;0;1,4;1,9;0,7;20;3,6
Kokosfett;Huile de coco;Olio di cocco;Coconut fat;0;895;99;85,9;0;0,8;0;2;0
Kokosmakronen;Macaron au coco;Biscotti al cocco;Coco macaroon;36;555;40;35;12,7;5,9;3,2;100;35,8
Kokosnuss;Noix de coco;Noce di cocco;Coconut;16;500;42;37;9,5;8,9;0,8;6;5
Kokosnuss, getrocknet (Kokosrapseln, Kokosflocken);Noix de coco, sèche ;Noce di cocco, secca ;Coconut, dried (coco flakes);6;660;63;54,8;20;6,2;3;33;6,4
Kondensmilch, gezuckert;Lait condensé, sucré;Latte condensato, zuccherato;Condensed milk, sweetened;54;340;10;6;0;8;18;120;54,3
Kondensmilch, ungezuckert;Lait condensé, non sucré;Latte condensato, non zuccherato;Condensed milk, unsweetened;10;135;8;4,5;0;6,5;15;100;9,7
Konfitüre;Confiture;Marmellata;Jam;59;250;1;0;2,2;0,5;1;12;58,7
Konfitüre, energievermindert, mit Süssstoffen;Confiture, avec valeur énergétique réduite, édulcorée;Marmellata, a valore energetico ridotto con edulcoranti;Jam, low calorie, with sweetener;32;140;1;0;0,8;0,5;2;20;31,9
Kopfsalat, roh;Laitue pommée, crue;Lattuga cappuccio, cruda;Butterhead lettuce, raw;1;15;0;0;1,6;1,2;3,3;2,3;1
Kotelett (Durchschnitt aus Kalb, Schwein, Lamm), roh;Côtelette (moyenne de veau, porc, agneau), crue;Cotoletta (media di vitello, maiale e agnello), cruda;Chop (average of veal, pork, lamb), raw;0;180;10;3,9;0;21,3;1;45;0
Krustentiere (Durchschnitt), roh;Crustacé, cru (moyen);Crostaceo (in media), crudo ;Shellfish (average), raw;1;75;1;0,2;0;15,5;170;260;0
Kuchenteig (mit Butter), ungebacken;Pâte à gateau (avec beurre), crue;Pasta per torta (con burro), cruda;Cake dough (with butter), raw;39;330;16;9,3;1,8;6,8;0,6;370;0,3
Kuchenteig (mit pflanzlichem Fett), ungebacken;Pâte à gateau (avec graisse végétale), crue;Pasta per torta (con grasso vegetale), cruda;Cake dough (with vegetable fat), raw;39;325;16;4,3;1,8;6,8;0,9;380;0,2
Kürbis-Piccata, zubereitet;Piccata de courges, préparée;Piccata di zucca, preparata;Pumpkin piccata, prepared;9;165;12;4,6;1,1;4,7;8,1;260;3,9
Kürbiskerne;Graine de courge;Semi di zucca;Pumpkin seeds;5;605;49;8,7;6;32,6;12;9,9;1,4
Kürbisscheiben, paniert, zubereitet;Tranches de courge, panées, préparées;Fette di zucca, impanate, preparate;Squash slices, breaded, prepared;17;140;6;0,7;1,7;4,4;4,9;290;4,1
Lachs, geräuchert;Saumon fumé;Salmone, affumicato;Salmon, smoked;0;170;8;1,8;0;23,2;56;1660;0
Lachs, wild, roh;Saumon sauvage, cru;Salmone selvatico, crudo;Salmon, wild, raw;0;185;12;1,8;0;19,7;53;63;0
Lachs, Zucht, roh;Saumon d'élevage, cru;Salmone d'allevamento, crudo;Salmon, cultured, raw;0;200;13;2,2;0;19,9;44;57;0
Lamm, Filet, roh;Agneau, filet, cru;Agnello, filetto, crudo;Lamb (sheep), filet, raw;0;115;3;1,3;0;20,4;0,7;68;0
Lamm, Gigot, roh (Schweiz, Neuseeland);Agneau, gigot, cru (Suisse, Nouvelle-Zélande);Agnello, cosciotto (Svizzera, Nuova Zelanda), crudo ;Lamb (sheep), leg, raw (Switzerland, New Zealand);0;155;8;4,4;0;20,2;0,8;61;0
Lamm, Kotelett, roh (Schweiz);Agneau, côtelette, crue (Suisse);Agnello, costoletta, cruda;Lamb (sheep), cutlet, raw (Switzerland);0;180;11;5,2;0;20,2;0,9;69;0
Lamm, Nierstück, roh (Australien, Neuseeland);Agneau, filet, cru (Australie, Nouvelle-Zélande);Agnello, lombata, cruda (Australia, Nuova Zelanda);Lamb (sheep), filet, raw (Australia, New Zealand);0;120;3;1,9;0;21,8;0,8;44;0
Lamm, Racks, roh (Australien, Neuseeland);Agneau, rack, crue (Australie, Nouvelle-Zélande);Agnello, carré, crudo (Australia, Nuova Zelanda);Lamb (sheep), racks, raw (Australia, New Zealand);0;160;8;4,3;0;20,3;0,9;63;0
Lamm, Voressen, roh (Schweiz);Agneau, ragoût, cru (Suisse);Agnello, spezzatino, crudo (Svizzera);Lamb, ragout, raw (Switzerland);0;155;8;4,3;0;19,6;0,7;60;0
Lamm/Schaf (Durchschnitt exkl. Innereien, Kotelett), roh;Agneau/mouton (moyenne sans abats ni côtelette), cru;Agnello (in media, senza interiora e cotoletta), cruda ;Lamb (average excluding offal, chop), raw;0;135;6;3;0;20,5;0,8;58;0
Lammragout mit Sauce, zubereitet;Ragoût d'agneau avec sauce, préparé;Ragù d'agnello con salsa, preparato;Lamb ragout with sauce, prepared;3;125;7;2,6;0,6;11,7;0,9;310;1,6
Landjäger;Gendarme;Landjäger (salamino affumicato);Landjäger sausage;0;495;43;16,9;0;26,6;;1410;0
Latte macchiato, ungezuckert;Latte macchiato, non sucré;Latte macchiato, non zuccherato;Latte macchiato, no sugar added;3;50;3;1,7;0;2,3;6,5;27;3,2
Lattich, roh;Laitue, crue;Lattuga romana, cruda;Romaine lettuce (cos lettuce);1;20;0;0;1,5;1,2;3,3;8;1,3
Lauch, gedünstet (ohne Zugabe von Fett und Salz);Poireau, à l'étuvée (sans adjonction de graisse ni de sel);Porro, stufato (senza aggiunta di sale);Leek, stewed (without addition of fat and salt);4;35;0;0;3,2;1,8;9,7;14;3,9
Lauch, roh;Poireau, cru;Porro, crudo;Leek, raw;4;30;0;0;2,8;1,6;8,6;12;3,5
Laugenbrötli;Petit pain de Sils;Panino di Sils;Lye roll;48;280;5;0,8;2,4;8,8;41;610;2,3
Laugengebäck trocken (Bretzel, Sticks);Bretzel, sticks salés, secs;Salatini tipo sils, secchi (bretzel, sticks);Pretzel sticks (dry lye pretzel);72;360;4;1;0,7;8,6;0;1710;0,5
Laugengipfeli;Croissant de Sils;Cornetto di Sils;Croissant, pretzel;39;420;25;14,6;2;8,7;100;1630;1,4
Leber (Durchschnitt aus Rind, Kalb, Schwein, Geflügel), roh;Foie (moyenne de veau, boeuf, porc, poulet), cru;Fegato (media di vitello, manzo, maiale, pollo), crudo;Liver (average of beef, veal, pork, poultry), raw;3;230;16;6,8;0,1;17,8;6,3;73;0,5
Leberwurst;Boudin blanc;Salsiccia di fegato;Liver sausage;1;295;23;8,7;0,2;20,8;4,3;860;0,4
Lebkuchen;Pain d'épice;Panpepato;Lebkuchen;62;405;14;1,4;4,2;6,5;2,2;120;41,2
Lebkuchen mit Schokoladeüberzug;Pain d'épice, enrobé de chocolat;Panpepato ricoperto di cioccolato;Lebkuchen, chocolate covered;60;445;19;6,8;3,5;6,5;6,6;140;45,4
Leinsamen;Graine de lin;Semi di lino;Linseed;11;475;34;2,9;27,3;17,9;10;40;1,6
Lemon Curd;Lemon Curd;Lemon Curd;Lemon Curd;38;320;16;7,9;0,1;6;15;72;37,5
Limburger (Münster);Limburger/Münster;Formaggio Limburger/Münster;Limburger (Münster) cheese;0;275;21;12,8;0;20,4;20;760;0
Limonade, mit Aroma, gezuckert;Limonade, avec arômes, sucrée;Limonata con aromi, zuccherata;Soft drink, with flavor, sweetened;10;40;0;0;0;0;1,8;3;9,5
Linse, gekocht (ohne Zugabe von Fett und Salz);Lentille, cuite (sans adjonction de graisse ni de sel);Lenticchie, cotte (senza aggiunta di grassi e sale);Lentil, cooked (without addition of fat and salt);19;125;0;0,1;4,1;8,8;0,3;1,3;0,4
Linse, getrocknet;Lentille, sèche;Lenticchie, secche;Lentil, dried;50;335;1;0,2;11,2;24;0,7;2,5;1
Linzertorte;Tourte de Linz;Torta di Linz;Linzertorte (Pastry base covered with raspberry sweetmeat);44;425;24;9,2;3,7;7,5;3,1;70;25,9
Löffelbiscuit;Pélerines;Biscotti savoiardi;Ladyfinger cookie;72;415;8;2,4;1,4;12,2;8;310;34,9
Luganighe;Luganiga;Luganiga ;Luganighe;1;460;43;16;0;17,1;1,1;980;0,5
Lyoner;Saucisse de Lyon;Salsiccia di Lione;Lyoner sausage;1;245;22;8,2;0;11,5;;850;0,5
Madeleine;Madeleines;Dolcetti (Maddalena);Madeleine biscuit;52;350;12;6,2;1,4;7,5;7,4;130;22,3
Magermilch, UHT;Lait écrémé, UHT;Latte scremato, UHT;Cow milk, skimmed, UHT;5;35;0;0;0;3,4;2,8;39;4,7
Magermilchpulver;Lait écrémé en poudre;Latte scremato, in polvere;Skimmed milk powder;52;360;1;0,5;0;35,5;75;550;51,5
Mailänderli;Milanais;Milanesini;Milanese cookie, butter, sweet;53;435;21;11,6;1,4;7,1;3,6;46;22,5
Mais-Chips (Apérogebäck);Chips de maïs;Chips di mais ;Tortilla chips, corn-based;56;510;27;6,6;4,4;7,8;0;970;2,4
Mais, gedämpft (ohne Zugabe von Salz);Maïs doux, à la vapeur (sans adjonction de sel);Mais dolce, stufato (senza aggiunta di sale);Sweet corn, steamed;18;105;1;0,2;3,2;3,8;3,6;0,3;3,9
Mais, roh;Maïs doux, cru;Mais dolce, crudo;Sweet corn, raw;16;95;1;0,2;2,8;3,3;3,3;0,3;3,4
Maisgriess, gekocht;Semoule de maïs, cuite;Semolino di mais, cotta;Corn semolina, cooked;17;80;0;0;1,1;2;0,7;230;0,3
Maisgriess, trocken;Semoule de maïs (polenta), sèche;Semolino di mais, secco;Corn semolina, dried;74;350;1;0,1;5;8,8;2,5;1;1,5
Maiskeimöl;Huile de maïs;Olio di semi di mais;Corn germ oil;0;810;90;11,1;0;0;0;0;0
Maiskölbchen, in Essig eingelegt;Maïs doux en épis au vinaigre;Pannocchiette di mais, sott'aceto;Sweet corn cob, pickled;21;120;1;0,2;4,2;3,4;0;17;2
Maisstärke;Fécule de maïs;Fecola di mais;Maize starch;88;355;0;0;0,6;0,3;2,5;6;0
Mandarine, roh;Mandarine, crue;Mandarino, crudo;Mandarin, fresh;10;50;0;0;1,4;0,7;0,8;3;10
Mandel;Amande;Mandorle;Almond;4;580;50;3,8;13;21,2;2;1,3;3,9
Mandel, geröstet, gesalzen;Amande, grillée, salée;Mandorle, tostate e salate;Almond, roasted, salted;7;635;55;4,2;10,5;21,2;2,4;330;4,6
Mandel, ohne Fett geröstet, gesalzen;Amande, grillée sans graisse, salée;Mandorle, tostate senza grasso e salate;Almond, dry roasted, salted;10;620;52;4;10,9;22,1;2,4;340;4,9
Mango, roh;Mangue, crue;Mango, crudo;Mango, fresh;13;65;0;0;2,3;0,6;1;2;13,1
Mangold, gedämpft (ohne Zugabe von Salz);Bette, à la vapeur (sans adjonction de sel);Bietola, al vapore (senza aggiunta di sale);Swiss chard, steamed (without addition of salt);4;35;0;0;1,3;2,8;1,2;190;0,7
Mangold, roh;Bette, crue;Bietola da coste, cruda;Swiss chard, raw;3;25;0;0;1;2,1;1;170;0,5
Margarine;Margarine;Margarina;Margarine;1;725;80;22,3;0;0,5;1,5;67;0
Marmorkuchen;Cake marbré;Cake marmorizzato;Marble cake;43;360;17;9,4;1,3;7,3;8,8;60;19,7
Marzipan;Massepain;Marzapane;Marzipan;69;470;18;1,5;4,9;6,1;0,7;2;68,6
Mascarpone;Mascarpone;Mascarpone;Soft cheese, Mascarpone;0;455;47;29,2;0;7,6;29;86;0
Mayonnaise;Mayonnaise;Maionese;Mayonnaise;1;745;82;12,1;0;1,1;6;410;0,5
Mayonnaise, kalorienvermindert;Mayonnaise, avec valeur énergétique réduite;Maionese, a valore energetico ridotto;Mayonnaise, low calorie;3;330;35;4,6;0;0,9;5,3;280;0
Mayonnaise, selbst zubereitet mit Rapsöl;Mayonnaise, préparée à la maison avec de l'huile de colza;Maionese, fatta in casa con olio di colza;Mayonnaise, home made with rapeseed oil;0;795;87;8;0;2,4;1,8;150;0,2
Mehl (Durchschnitt);Farine (moyenne);Farina (in media);Flour (average);68;345;1;0,3;4,7;12,4;1;3,5;0,4
Mehl, hell (Durchschnitt);Farine claire (moyenne);Farina bianca (in media);Flour, white and semi-white (average);69;345;1;0,3;3,8;12,2;0,8;2,1;0,4
Mehlomeletten mit Champignonfüllung, zubereitet;Omelette à la farine aux champignons, préparée;Omelette tipo crêpes ai funghi prataiolo, preparato;Flour omelette filled with mushrooms, prepared;11;125;6;3,1;1,5;5,3;16;220;1,3
Mehlomeletten mit Gemüsefüllung, zubereitet;Omelette à la farine aux légumes, préparée;Omelette tipo crêpes alle verdure, preparato;Flour omelette filled with vegetables, prepared;16;140;5;1,8;1,4;5,7;9,8;230;2,6
Mehlomeletten mit Käse, zubereitet;Omelette à la farine au fromage, préparée;Omelette tipo crêpes al formaggio, preparato;Flour omelette with cheese, prepared;18;200;9;4,4;0,8;10;12;360;1,3
Mehlomeletten mit Nutella, zubereitet;Omelette à la farine au Nutella, préparée;Omelette tipo crêpes alla Nutella;Flour omelette with Nutella, prepared;29;260;12;4,7;1,4;7,1;11;250;14,4
Mehlomeletten mit Schinken, zubereitet;Omelette à la farine au jambon, préparée;Omelette tipo crêpes al prosciutto, preparato;Flour omelette with ham, prepared;17;160;5;2,1;0,8;9,8;11;410;1,4
Mehlomeletten mit Speck, zubereitet;Omelette à la farine au lard, préparée;Omelette tipo crêpes al lardo, preparato;Flour omelette with bacon, prepared;17;195;10;3,7;0,8;9,3;10;430;1,3
Mehlomeletten mit Zimt und Zucker, zubereitet;Omelette à la farine au sucre et cannelle, préparée;Omelette tipo crêpes al zucchero con cannella, preparato;Flour omelette with sugar and cinnamon, prepared;25;180;6;2,2;0,9;7,1;11;300;6,5
Mehlomeletten, zubereitet;Omelette à la farine, préparée;Omelette tipo crêpes, preparato;Flour omelette, prepared;20;170;6;2,3;0,9;7,5;12;320;1,4
Melasse, Melassesirup;Mélasse, sirop de mélasse;Melassa, sciroppo di melassa;Molasses;67;275;0;0;0;1,2;0;96;67,2
Meringue;Meringue;Meringa;Meringue, biscuit;94;400;1;0;0;5;0;100;94
