de;fr;it;en;carbohydrates, available;energy;fat;fatty saturated;fiber;proteins;salt;sodium;sugars;imageUrl
Milchschokolade mit Weinbeeren, Nüssen und Mandeln;Chocolat au lait avec raisins secs, noisettes et amandes;Cioccolato al latte con uva secca, nocciole e mandorle;Milk chocolate with raisins, nuts, almonds;51;515;30;14,2;4,7;7,5;5,2;62;50,1;http://maxpixel.freegreatpicture.com/static/photo/1x/Cherries-Fruit-Cake-Almonds-Raisins-596837.jpg
Minestrone;Minestrone;Minestrone;Minestrone;7;55;2;0,7;0,4;2;0;390;2,6;https://upload.wikimedia.org/wikipedia/commons/3/32/Minestrone_soup.jpg
Minipic Würstchen;Saucisse type Minipic;Salsiccette Minipic;Minipic sausage;1;460;39;15,4;0;26,1;;1780;0,8;https://upload.wikimedia.org/wikipedia/commons/d/d8/Pigs_July_2008-1.jpg
Mirabelle, gedünstet, abgetropft (ohne Zugabe von Zucker);Mirabelle, cuite,  égouttée (sans adjonction de sucre);Mirabelle, cotte, sgocciolate (senza aggiunta di zucchero);Mirabelle plum, stewed, drained (without addition of sugar);14;65;0;0;2,6;0,8;1,2;0;13,8;
Mirabelle, roh;Mirabelle, crue;Prugne Mirabelle, cruda;Yellow plum, fresh;12;60;0;0;2,3;0,7;1;0;12;https://cdn.pixabay.com/photo/2016/03/21/01/46/plum-1269851_960_720.jpg
Mit Hackfleisch gefüllte Oliven, frittiert;Olives farcies avec de la viande hachée, frites;Olive farcite e fritte all'ascolana;Olives stuffed with minced meat, deep-fried;32;320;14;2,7;3,3;14,1;6,8;790;1,6;https://upload.wikimedia.org/wikipedia/en/0/02/Greek_diples.jpg
Molke, süss;Petit lait, doux;Siero di latte, dolce;Sweet whey;5;25;0;0,1;0;0,8;8;45;4,7;https://upload.wikimedia.org/wikipedia/commons/5/53/Whey.jpg
Morchel, gedünstet (ohne Zugabe von Fett und Salz);Morille, à l'étuvée (sans adjonction de graisse ni de sel);Spugnolo, stufato  (senza aggiunta di sale);Morel, stewed (without addition of fat and salt);1;35;0;0,1;8,5;2,1;12;2,1;0,1;https://upload.wikimedia.org/wikipedia/commons/8/8c/T%C3%B8rrfesk.jpg
Morchel, roh;Morille, crue;Spugnole, crude;Morel, fresh;1;30;0;0,1;7;1,7;10;2;0,1;http://maxpixel.freegreatpicture.com/static/photo/1x/Edible-Brown-Fungus-Fresh-Morels-Nature-Mushrooms-1053367.jpg
Mortadella;Mortadella;Mortadella;Mortadella;1;305;27;9,9;0;15,7;1,5;840;0,8;https://upload.wikimedia.org/wikipedia/commons/5/54/Mortadella-1.jpg
Mostbröckli;Mostbröckli;Carne secca appenzellese, crudo;Mostbröckli (smoked and dried beef), raw;1;150;2;0,9;0;32,6;0;1860;0,5;https://upload.wikimedia.org/wikipedia/commons/f/f0/Horse_meat_hamburger_at_restaurant_Hot%27_Horse%2C_Ljubljana%2C_Slovenia.jpg
Mozzarella;Mozzarella;Mozzarella;Mozzarella;1;255;20;11,4;0;18,7;4,8;140;0,7;https://upload.wikimedia.org/wikipedia/commons/5/50/Mozzarella_cheese.jpg
Mürbeteig (mit Butter), süss, ungebacken;Pâte brisée (avec beurre), sucrée, crue;Pasta frolla (con burro), dolce, cruda;Short pastry base (with butter), sweet, raw;46;425;23;13;1,6;7,8;4,6;280;10,5;https://upload.wikimedia.org/wikipedia/commons/c/cf/Bakewell_tart_on_a_plate.jpg
Mürbeteig (mit pflanzlichem Fett), süss, ungebacken;Pâte brisée (avec graisse végétale), sucrée, crue;Pasta frolla (con grasso vegetale), dolce, cruda;Short pastry base (with vegetable fat), sweet, raw;46;420;22;6,2;1,6;7,8;21;290;10,4;https://upload.wikimedia.org/wikipedia/commons/c/cf/Bakewell_tart_on_a_plate.jpg
Mütschli;Petit pain;Panino;Bread roll, white;52;255;1;0,2;2,5;8,7;0,8;690;0,7;https://upload.wikimedia.org/wikipedia/commons/5/59/Bread_rolls.JPG
Nasi Goreng, zubereitet;Nasi Goreng, préparé;Nasi Goreng, preparato;Nasi Goreng, prepared;16;130;2;0,4;0,5;11;1,3;510;0,7;https://upload.wikimedia.org/wikipedia/commons/c/c4/Nasi_Goreng_Kambing_Kebon_Sirih_Jakarta_1.jpg
Nektarine, roh;Nectarine, crue;Pesca noce, cruda;Nectarine, fresh;10;55;0;0;2,2;0,9;1;4;10,2;https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Espa%C3%B1a_Photography_by_David_Adam_Kess%2C_Amazing_Fruit%2C_Nectarine_Fresh_Fresh_Fresh_Fresh.jpg/1280px-Espa%C3%B1a_Photography_by_David_Adam_Kess%2C_Amazing_Fruit%2C_Nectarine_Fresh_Fresh_Fresh_Fresh.jpg
Nussgipfel aus Blätterteig;Croissant aux noisettes, pâte feuilletée;Cornetto alle nocciole, pasta sfoglia;Croissant filled with nuts, puff pastry;36;420;27;10;2,6;6,6;1,8;210;13,8;http://maxpixel.freegreatpicture.com/static/photo/1x/Food-Bake-Puff-Pastry-Croissant-Frisch-Breakfast-2039386.jpg
Nussgipfel aus Hefeteig;Croissant aux noisette, pâte levée;Cornetto alle nocciole, pasta lievitata;Croissant filled with nuts, yeast dough;42;315;13;3,4;2,6;7,5;2,4;260;8,3;https://upload.wikimedia.org/wikipedia/commons/d/de/Sausages_of_Csabai.JPG
Nüsslisalat, roh;Mâche, crue;Formentino, crudo;Lamb's lettuce, raw;2;25;0;0,1;1,7;2;35;4;2;http://maxpixel.freegreatpicture.com/static/photo/1x/Vitamins-Lambs-Lettuce-Healthy-Salad-Food-Eat-1197802.jpg
Nussschnecke aus Hefeteig;Escargot aux noisette, pâte levée;Lumachina alle nocciole, pasta lievitata;Nut roll with yeast dough;54;445;19;5,7;3,8;12;4;470;13,1;http://maxpixel.freegreatpicture.com/static/photo/1x/Bread-Cake-Yeast-Kneading-Dough-The-Bowl-Chalka-1575463.jpg
Ofen-Frites, tiefgekühlt;Frites au four, surgelées;Patate fritte al forno, surgelate;French fries for oven, deep-frozen;18;130;5;0,3;1,3;1,8;2,9;8,6;1;https://upload.wikimedia.org/wikipedia/commons/9/91/Burger_King_Whopper_Combo.jpg
Olive, grün;Olive, verte;Olive, verdi;Olive, green;0;130;13;1,8;4;1,3;0;1610;0;http://www.publicdomainpictures.net/pictures/190000/velka/olive-green-bacground.jpg
Olive, schwarz;Olive, noire;Olive, nere;Olive, black;3;150;14;1,4;4,3;0,9;0;3290;;https://c1.staticflickr.com/9/8558/8697583927_43d9475190_b.jpg
Olivenöl;Huile d'olive;Olio d'oliva;Olive oil;0;810;90;11,7;0;0;0;0,9;0;https://cdn.pixabay.com/photo/2015/10/02/15/59/olive-oil-968657_960_720.jpg
Orange, roh;Orange, crue;Arancia, cruda;Orange, fresh;9;45;0;0;1,8;1;0,9;4;8,6;http://maxpixel.freegreatpicture.com/static/photo/1x/Sweet-Fruit-Orange-Fresh-Food-Oranges-Fruits-1714.jpg
Orangennektar;Nectar d'orange;Nettare d'arancia;Orange nectar;11;45;0;0;0,1;0,4;2;1;10,5;http://maxpixel.freegreatpicture.com/static/photo/1x/Bloom-Strelizie-Blossom-Exotic-Nectar-Drops-Orange-1335697.jpg
Orangensaft;Jus d'orange;Succo d'arancia;Orange juice;11;55;1;0;0,1;0,5;2,1;1;11,1;https://upload.wikimedia.org/wikipedia/commons/6/67/Orange_juice_1_edit1.jpg
Orangensaft, angereichert mit Vitamin C;Jus d'orange, enrichi de vitamine C;Succo d'arancia a di vitamina C;Orange juice, fortified with vitamin C;12;55;1;0;0,1;0,5;2,1;1;12;https://upload.wikimedia.org/wikipedia/commons/5/5a/Oranges_and_orange_juice.jpg
Palmöl - Palmfett;Graisse de palme - Huile de palme;Grasso di palma - Olio di palma;Palm oil, palm fat;0;800;89;41,3;0;0;0;0,9;0;https://upload.wikimedia.org/wikipedia/commons/3/3f/Hazelnuts.jpg
Pancetta;Pancetta;Pancetta;Pancetta;0;470;43;14,4;0;19,5;0;1850;0;https://upload.wikimedia.org/wikipedia/commons/b/bb/Preparation_pizza_pancetta_2.JPG
Panettone;Panettone;Panettone;Panettone;57;355;11;5,6;2,8;6,4;;38;22,9;https://upload.wikimedia.org/wikipedia/commons/b/bd/Panettone_vero.jpg
Paniermehl;Chapelure;Pangrattato;Breadcrumbs;72;370;2;0,3;4,5;14,2;2,8;760;2,8;https://upload.wikimedia.org/wikipedia/commons/e/e2/Bread_crumbs.jpg
Pantli;Pantli;Pantli;Pantli, beef and pork sausage;1;540;50;19,6;0;21,1;0,8;1600;0,9;
Paprika (Gewürz);Paprika (épice);Paprica;Paprika (spice);35;360;13;2,1;20,9;14,8;5;34;33,2;https://upload.wikimedia.org/wikipedia/commons/9/97/Spanishsmokedpaprika.jpg
Paranuss;Noix du Brésil;Noce del Brasile;Brazil nut;3;695;67;15,6;7;16,6;2,5;0,7;2,3;https://upload.wikimedia.org/wikipedia/commons/d/de/Brazil_nuts.jpg
Pariserbrot;Baguette parisienne ;Pane parigino;Baguette;51;255;1;0,1;2,9;9;0,9;660;0,5;https://cdn.pixabay.com/photo/2014/01/16/16/35/baguette-246424_960_720.jpg
Parmesan;Parmesan;Parmigiano ;Parmesan cheese;0;375;26;15,4;0;36;40;450;0;https://upload.wikimedia.org/wikipedia/commons/9/96/Parmigiano_Reggiano_cheese.jpg
Passionsfrucht, roh;Fruit de la passion, cru;Frutto della passione, crudo;Passion fruit, fresh;12;95;1;0,1;10,6;2,2;1,3;28;11,2;http://maxpixel.freegreatpicture.com/static/photo/1x/Fresh-Food-Passion-Fruit-711267.jpg
Pâté de campagne;Pâté de campagne;Pasticcio di campagna;Pâté de campagne;1;395;37;13,6;0,1;13,2;4,7;880;0,8;https://upload.wikimedia.org/wikipedia/commons/a/af/Pate_de_campagne-01.jpg
Peperoni, grün, gedünstet (ohne Zugabe von Fett und Salz);Poivron, vert, à l'étuvée (sans adjonction de graisse ni de sel);Peperone, verde, stufato (senza aggiunta di sale);Bell pepper, green, stewed (without addition of fat and salt);3;30;0;0;2,6;1;2,6;7,9;3,3;https://upload.wikimedia.org/wikipedia/en/0/0b/Hickory_smoked_barbecue_bacon.jpg
Peperoni, grün, roh;Poivron, vert, cru;Peperone verde, crudo;Bell pepper, green, raw;3;20;0;0;2;0,8;2;6;2,5;http://maxpixel.freegreatpicture.com/static/photo/1x/Bell-Peppers-Crops-Red-Green-Red-Peppers-Peppers-1947710.jpg
Peperoni, rot, gedünstet (ohne Zugabe von Fett und Salz);Poivron, rouge, à l'étuvée (sans adjonction de graisse ni de sel);Peperone, rosso, stufato (senza aggiunta di sale);Bell pepper, red, stewed (without addition of fat and salt);7;45;1;0,1;2,6;1,2;1,3;4;6,7;https://upload.wikimedia.org/wikipedia/en/0/0b/Hickory_smoked_barbecue_bacon.jpg
Peperoni, rot, roh;Poivron, rouge, cru;Peperone rosso, crudo;Bell pepper, red, raw;5;35;0;0,1;2;0,9;1;3;5,1;https://cdn.pixabay.com/photo/2014/07/11/22/41/red-bell-pepper-390647_960_720.jpg
Petersilie, roh;Persil, cru;Prezzemolo, fresco;Parsley, fresh;7;60;1;0,1;4,3;3,9;3,4;38;4,8;http://www.publicdomainpictures.net/pictures/50000/velka/fresh-parsley.jpg
Pfefferminze, roh;Menthe, crue;Menta, fresca;Peppermint, fresh;5;50;1;0,1;3;3,8;4;15;5,2;http://maxpixel.freegreatpicture.com/static/photo/1x/Herb-Mint-Peppermint-Menthol-Fresh-Leaf-Spearmint-1549249.jpg
Pferd, Filet, roh;Cheval, filet, cru;Cavallo, filetto, crudo;Horse, filet, raw;0;105;2;0,8;0;21,4;1;44;0;https://upload.wikimedia.org/wikipedia/commons/f/f0/Horse_meat_hamburger_at_restaurant_Hot%27_Horse%2C_Ljubljana%2C_Slovenia.jpg
Pferderagout mit Sauce, zubereitet;Ragoût de cheval avec sauce, préparé;Ragù di cavallo con salsa, preparato;Horse ragout with sauce, prepared;3;95;3;0,6;0,6;12,7;1,1;300;1,6;https://upload.wikimedia.org/wikipedia/commons/f/f0/Horse_meat_hamburger_at_restaurant_Hot%27_Horse%2C_Ljubljana%2C_Slovenia.jpg
Pfirsich, gezuckert (Konserve);Pêche, sucrée, conserve;Pesche, zuccherate, conserva;Peach, sweetened, canned;19;85;0;0;1,8;0,4;2,6;0,5;19;https://upload.wikimedia.org/wikipedia/commons/e/ef/Iced_Tea_from_flickr.jpg
Pfirsich, roh;Pêche, crue;Pesca, cruda;Peach, fresh;10;50;0;0;2;0,5;2,9;1;10;http://maxpixel.freegreatpicture.com/static/photo/1x/Fruit-Juicy-Food-Peaches-Healthy-Fresh-Peach-1517999.jpg
Pfirsich, ungezuckert (Konserve);Pêche, non sucrée, conserve;Pesche, non zuccherate, conserva;Peach, unsweetened, canned;10;50;0;0;2;0,5;2,9;0,6;10;https://upload.wikimedia.org/wikipedia/commons/e/ef/Iced_Tea_from_flickr.jpg
Pflaume, gedünstet, abgetropft (ohne Zugabe von Zucker);Pruneau, cuite,  égouttée (sans adjonction de sucre);Prugne, cotte, sgocciolate (senza aggiunta di zuccheri);Plum, stewed, drained (without addition of sugar);13;60;0;0;2;0,7;1,7;2,1;10,9;https://upload.wikimedia.org/wikipedia/commons/8/8c/T%C3%B8rrfesk.jpg
Pflaume, getrocknet;Pruneau, sec;Prugne, secca;Prune, dried;40;205;0;0;16;2,5;0,8;12;39,8;https://upload.wikimedia.org/wikipedia/commons/4/49/Chocolate-coated_Dried_Plums.jpg
Pflaume, roh;Prune, crue;Prugna, cruda;Plum, fresh;10;50;0;0;1,6;0,6;1,4;1,7;8,8;http://maxpixel.freegreatpicture.com/static/photo/1x/Healthy-Plum-Organic-Food-Fresh-Vegetarian-Fruit-1430345.jpg
Pflaumenkuchen, gebacken (mit Blätterteig);Tarte aux prunes, cuite au four (pâte feuilletée);Torta di prugna, cotta nel forno (pasta sfoglia);Plum pie, baked (with puff pastry);16;140;7;3,8;1,4;2,5;3,4;93;7,7;http://maxpixel.freegreatpicture.com/static/photo/1x/Cream-Puffs-Delicious-France-Confectionery-Food-427181.jpg
Pflaumenkuchen, gebacken (mit Kuchenteig);Tarte aux prunes, cuite au four (pâte à gateau);Torta di prugna, cotta nel forno (pasta per torta);Plum pie, baked (with cake dough);18;130;5;2,6;1,5;2,9;3,5;100;7,7;http://maxpixel.freegreatpicture.com/static/photo/1x/Streusel-Cake-Cake-Bake-Homemade-Plum-Cake-1587097.jpg
Pilz (Durchschnitt), gedünstet (ohne Zugabe von Fett und Salz);Champignons (moyenne), à l'étuvée (sans adjonction de graisse ni de sel);Funghi (in media), cotti  (senza aggiunta di grasso e sale);Mushroom (average), stewed (without addition of fat and salt);1;35;1;0,1;6;2,9;10;5,1;0,2;https://upload.wikimedia.org/wikipedia/commons/5/59/Baby_bella_mushrooms_being_saut%C3%A9ed.jpg
Pilz (Durchschnitt), roh;Champignons (moyenne), crus;Funghi (in media), crudi;Mushroom (average), raw;1;25;0;0,1;4,9;2,4;8,6;4,2;0,2;https://upload.wikimedia.org/wikipedia/commons/8/82/Morchella_conica_1_beentree.jpg
Pilzrisotto, gekocht;Risotto au champignon, cuit;Risotto ai funghi, cotto;Mushroom risotto, cooked;19;130;4;1,6;1,6;4;3,3;210;0,6;https://c1.staticflickr.com/6/5648/23816664865_ff051e1808_z.jpg
Pilzsauce, gebunden;Sauce aux champignons, liée;Salsa ai funghi, legata;Mushroom sauce, thickened;8;85;4;1,6;0,7;3,6;2,8;330;5;https://upload.wikimedia.org/wikipedia/commons/e/e2/Sauce_champignons.jpg
Pilzsuppe;Soupe velouté de champignons;Crema di funghi;Mushroom soup;6;40;1;0,5;0,5;1,1;4,9;370;2;https://upload.wikimedia.org/wikipedia/commons/0/08/Mushroom_Soup.jpg
Pinienkerne;Pignon de pin;Pinoli;Pine nuts;14;595;45;4,9;3,7;31,6;0,2;4,6;5,2;https://upload.wikimedia.org/wikipedia/commons/5/56/Shelled_pine_nuts.jpg
Pistazie;Pistache;Pistacchi;Pistachio, dried;18;580;45;5,6;10;20,3;11;9;7,7;http://maxpixel.freegreatpicture.com/static/photo/1x/Fruits-Food-Dry-Nuts-Snack-Pistachios-Salty-389878.jpg
Pizza al tonno, gebacken;Pizza au thon, cuite au four;Pizza al tonno, cotta nel forno;Pizza with tuna, baked;27;230;8;3,1;1,5;12,2;1,9;300;1,3;https://upload.wikimedia.org/wikipedia/commons/9/96/Pizza_-_Tuna-rucola_C_IMG_8832.JPG
Pizza Calzone, gebacken;Pizza Calzone, cuite au four;Pizza Calzone, cotta nel forno;Pizza Calzone, baked;27;230;8;3,1;1,5;11,5;2,3;360;1,4;https://upload.wikimedia.org/wikipedia/commons/5/51/Authentic_Italian_Food_at_Oakland_%28Calzone_Pizza%29_-_panoramio.jpg
Pizza Hawaii, gebacken;Pizza Hawaii, cuite au four;Pizza Hawaii, cotta nel forno;Pizza Hawaii, baked;24;195;6;2,6;1,5;9,5;1,9;300;3,5;https://upload.wikimedia.org/wikipedia/commons/d/d1/Hawaiian_pizza_1.jpg
Pizza Margherita, gebacken;Pizza Margherite, cuite au four;Pizza Margherita, cotta nel forno;Pizza Margherita, baked;30;240;8;3,4;1,7;9,9;2,1;280;1,5;https://upload.wikimedia.org/wikipedia/commons/a/a3/Eq_it-na_pizza-margherita_sep2005_sml.jpg
Pizza mit Gemüse, gebacken;Pizza aux légumes, cuite au four;Pizza alle verdure, cotta nel forno;Pizza with vegetables, baked;17;125;3;1,2;1,9;5,6;6,1;140;1,8;http://maxpixel.freegreatpicture.com/static/photo/1x/Wheat-Pizza-Pizza-Vegetables-728693.jpg
Pizza mit Mascarpone und Rucola, gebacken;Pizza au mascarpone et roquette, cuite au four;Pizza con mascarpone e rucola, cotta nel forno;Pizza with mascarpone and rocket, baked;27;240;10;4,5;1,6;9,6;3,3;270;1,5;https://upload.wikimedia.org/wikipedia/commons/a/a5/Pane_toscano.jpg
Pizza Prosciutto e Funghi, gebacken;Pizza au jambon et champignon, cuite au four;Pizza Prosciutto e Funghi, cotta nel forno;Pizza with ham and mushrooms, baked;24;205;7;2,8;1,6;10,6;4,2;320;1,3;https://cdn.pixabay.com/photo/2015/11/17/21/54/pizza-1048299_960_720.jpg
Pizza Prosciutto, gebacken;Pizza au jambon, cuite au four;Pizza Prosciutto, cotta nel forno;Pizza with ham, baked;29;220;7;2,3;1,6;10,6;2,1;380;1,5;http://maxpixel.freegreatpicture.com/static/photo/1x/Eat-Bruschetta-Snack-Ham-Pizza-Bread-Roll-Pizza-280767.jpg
Pizza Quattro Formaggi, gebacken;Pizza aux quatre fromages, cuite au four;Pizza Quattro Formaggi, cotta nel forno;Pizza with four cheeses, baked;37;300;10;4,8;1,8;12,9;6,7;430;0,2;https://c1.staticflickr.com/4/3315/5828578681_b2fd60d0b4_b.jpg
Pizzateig (mit Olivenöl), ungebacken;Pâte à pizza (avec graisse végétale), crue;Pasta per pizza (con grasso vegetale), cruda;Pizza doug ( with olive oil), raw;41;230;4;0,6;2;7;0,5;290;0,2;https://static.pexels.com/photos/372963/pexels-photo-372963.jpeg
Plätzli (Durchschnitt aus Rind, Kalb, Schwein, Geflügel), roh ;Escalope (moyenne de veau, boeuf, porc, poulet), crue;Fettina (media di vitello, manzo, maiale, pollo), cruda;Escalope (average of beef, veal, pork, poultry), raw;0;115;3;0,9;0;22,2;1,3;58;0;https://upload.wikimedia.org/wikipedia/commons/e/eb/T_Roosevelt.jpg
Polenta nera (aus Maisgriess und Buchweizenmehl), gekocht;Polenta nera, préparée;Polenta nera, preparata;Polenta nera (made from corn semolina and buckwheat flour,) cooked;13;105;3;1,9;1;4,6;3,4;460;0,2;https://upload.wikimedia.org/wikipedia/commons/3/30/Spaghetti_carbonara.jpg
Pommes Chips;Pommes Chips;Pommes Chips;Pommes Chips;49;540;35;2,4;3,6;4,9;8;500;2,6;https://upload.wikimedia.org/wikipedia/commons/6/68/Pommes_Frites_Ketschup.jpg
Pommes Chips fettreduziert;Pommes Chips à matière grasse réduite;Patatine a ridotto contenuto di grassi;Potato chips fat reduced;59;470;22;2,3;4,4;5,9;9,6;480;3,1;https://c1.staticflickr.com/8/7200/26816671813_2d6b08f2a1_z.jpg
Pommes Frites (im Ofen gebacken), ungesalzen;Pommes frites (cuites au four), non salées;Patate fritte (cotte nel forno), non salate;French fries (baked in the oven), unsalted;33;230;9;0,5;2,4;3,3;5,3;16;1,8;https://upload.wikimedia.org/wikipedia/commons/1/11/Tingmo_or_Ting_Momo.JPG
Pommes Frites (in HO Sonnenblumenöl fritiert), ungesalzen;Pommes frites (frites dans de l'huile de tournesol HO), non salées;Patate fritte (fritte in olio di girasole HO), non salate;French fries (deep fried in HO sunflower oil), unsalted;33;285;15;1;2,4;3,2;5,1;15;1,7;https://upload.wikimedia.org/wikipedia/commons/f/f8/A_close_up_view_of_an_Indian_bittergourd..jpg
Popcorn;Popcorn ;Popcorn ;Popcorn;63;370;4;0,6;15;12;0;4;1,2;https://cdn.pixabay.com/photo/2015/12/09/17/12/popcorn-1085072_960_720.jpg
Portwein, 18.5 vol%;Vin de Porto, 18.5 vol%;Vino di Porto, 18.5 vol%;Port, 18.5 vol%;12;155;0;0;0;0,2;10;9;12;https://upload.wikimedia.org/wikipedia/commons/0/07/Constanta_shipyard.JPG
Poulet, Brust, mit Haut, roh (Frankreich);Poulet, poitrine, avec peau, crue (France);Pollo, petto con pelle (Francia), crudo;Chicken, breast, with skin, raw (France);0;130;3;1,2;0;24;10;39;0;https://upload.wikimedia.org/wikipedia/commons/1/16/Crispy_pata.jpg
Poulet, Brust, mit Haut, roh (Schweiz);Poulet, poitrine, avec peau, crue (Suisse);Pollo, petto con pelle (Svizzera), crudo;Chicken, breast, with skin, raw (Switzerland);0;155;7;2,2;0;23,3;10;34;0;https://upload.wikimedia.org/wikipedia/commons/7/72/Meat_Atlas_2014_meat_consumption_developing_countries.png
Poulet, Brust, ohne Haut, roh (Frankreich);Poulet, poitrine, sans peau, crue (France);Pollo, petto senza pelle (Francia), crudo;Chicken, breast, without skin, raw (France);0;110;1;0,3;0;25,2;0,6;31;0;https://upload.wikimedia.org/wikipedia/commons/3/36/From_Abhisheka_To_Panchamrutha.jpg
Poulet, Brust, ohne Haut, roh (Schweiz);Poulet, poitrine, sans peau, crue (Suisse);Pollo, petto senza pelle (Svizzera), crudo;Chicken, breast, without skin, raw (Switzerland);0;110;1;0,3;0;24,6;0,9;36;0;https://upload.wikimedia.org/wikipedia/commons/7/72/Meat_Atlas_2014_meat_consumption_developing_countries.png
Poulet, Brust, Schnitzel, roh;Poulet, poitrine, escalope (émincé), crue;Pollo, petto, sminuzzato, crudo;Chicken, breast (cut), raw;0;105;1;0,4;0;23,1;0,4;72;0;https://upload.wikimedia.org/wikipedia/commons/1/1e/Kycklingfil%C3%A9.jpg
Poulet, ganz, mit Haut, roh;Poulet entier, avec peau, cru;Pollo, intero con pelle, crudo;Chicken, whole, with skin, raw;0;170;10;2,8;0;18,8;10;70;0;https://cdn.pixabay.com/photo/2013/01/08/01/18/chicken-legs-74255_960_720.jpg
Poulet, Schenkel, mit Haut, roh;Poulet, cuisse, avec peau, crue;Pollo, coscia con pelle, cruda;Chicken, leg, with skin, raw;0;185;13;3,5;0;17,6;0,4;95;0;https://cdn.pixabay.com/photo/2013/01/08/01/18/chicken-legs-74255_960_720.jpg
Poulet, Schenkel, mit Haut, roh (Frankreich);Poulet, cuisse, avec peau, crue (France);Pollo, coscia con pelle (Francia), cruda;Chicken, leg, with skin, raw (France);0;145;8;2,4;0;19,4;8;57;0;https://upload.wikimedia.org/wikipedia/commons/4/4a/Herbal_frog_leg_soup%2C_Zi_Yean_Restaurant%2C_Singapore_-_20090714.jpg
Poulet, Schenkel, mit Haut, roh (Schweiz);Poulet, cuisse, avec peau, crue (Suisse);Pollo, coscia con pelle (Svizzera), cruda;Chicken, leg, with skin, raw (Switzerland);0;165;10;3,2;0;17,9;8;63;0;https://upload.wikimedia.org/wikipedia/commons/a/a6/Vegetarianism_and_veganism_page_views%2C_Wikipedia.jpg
Poulet, Schenkel, ohne Haut, roh (Frankreich);Poulet, cuisse, sans peau, crue (France);Pollo, coscia senza pelle (Francia), cruda;Chicken, leg, without skin, raw (France);0;125;4;1,3;0;20,6;5;72;0;https://upload.wikimedia.org/wikipedia/commons/4/4a/Herbal_frog_leg_soup%2C_Zi_Yean_Restaurant%2C_Singapore_-_20090714.jpg
Poulet, Schenkel, ohne Haut, roh (Schweiz);Poulet, cuisse, sans peau, crue (Suisse);Pollo, coscia senza pelle (Svizzera), cruda;Chicken, leg, without skin, raw (Switzerland);0;135;6;2;0;19,7;5;76;0;https://upload.wikimedia.org/wikipedia/commons/f/f0/Norwegian_peasant_baking_bread.png
Preiselbeere, roh;Airelle rouge, crue;Mirtillo rosso, crudo;Cranberry, fresh;7;40;1;0;2,9;0,3;5;2;7;http://maxpixel.freegreatpicture.com/static/photo/1x/Eating-Berry-Fruit-Cranberry-Fresh-Diet-Food-20149.jpg
Prussien;Coeurs de France;Biscotti prussiani;Prussian cookie;54;440;22;13,2;1,2;4,7;0,5;310;27,4;https://upload.wikimedia.org/wikipedia/commons/0/06/Map_Province_of_Saxony_in_Prussia.svg
Pudding, Caramel;Flan au caramel;Budino, al caramello;Pudding, caramel;23;125;2;1,4;0,1;3,4;6,2;70;20,1;http://www.publicdomainpictures.net/pictures/30000/velka/caramel-custard-pudding.jpg
Pudding, Schokolade;Flan au chocolat;Budino, al cioccolato;Pudding, chocolate;21;125;3;0,4;1;3;3,2;130;12,1;https://upload.wikimedia.org/wikipedia/commons/7/79/Chocolate_pudding.jpg
Pudding, Vanille;Flan à la vanille;Budino, alla vaniglia;Pudding, vanilla;18;105;2;0,3;0,1;2,8;5,9;140;10,4;https://upload.wikimedia.org/wikipedia/commons/6/64/Vanilla_pudding_%281129124791%29.jpg
Quark, nature, halbfett;Séré, mi-gras;Quark, natuale, semigrasso;Curds min. 20% fidm;4;100;5;3;0;9,6;21;32;3,4;
Quark, nature, mager;Séré maigre;Quark, naturale, magro;Curds with at most 10% fidm;4;65;0;0,1;0;10,8;27;33;3,5;
Quark, nature, Rahm;Séré à la crème;Quark, naturale, alla panna;Curds min. 40% fidm;4;185;16;9,4;0;7;8,5;29;3,2;
Quarkblätterteig (mit Butter), ungebacken;Pâte feuilletée au séré (avec beurre), crue;Pasta sfogli di quark (con burro), cruda;Curd cheese puff pastry (with butter), raw;29;405;28;16,8;1,3;7,1;3,2;330;1,3;https://upload.wikimedia.org/wikipedia/commons/7/75/Grits_and_eggs.jpg
Quarkblätterteig (mit pflanzlichem Fett), ungebacken;Pâte feuilletée au séré (avec graisse végétale), crue;Pasta sfogli di quark (con grasso vegetale), cruda;Curd cheese puff pastry (with vegetable fat), raw;29;400;28;9,3;1,3;7,1;3,6;340;1,1;https://upload.wikimedia.org/wikipedia/commons/0/03/Schabowy_Gniezno.jpg
Quiche Lorraine, gebacken (mit Blätterteig);Quiche Lorraine, cuite au four (pâte feuilletée);Quiche Lorraine, cotta nel forno (pasta sfoglia);Quiche Lorraine, baked (with puff pastry);12;305;25;13;0,4;8,5;9,8;460;1,6;http://maxpixel.freegreatpicture.com/static/photo/1x/Quiche-Cheese-Onion-Dough-Tomatoes-Egg-Eat-Bacon-1579383.jpg
Quiche Lorraine, gebacken (mit Kuchenteig);Quiche Lorraine, cuite au four (pâte à gateau);Quiche Lorraine, cotta nel forno (pasta per torta);Quiche Lorraine, baked (with cake dough);15;295;22;11,2;0,6;9;9,8;480;1,6;http://maxpixel.freegreatpicture.com/static/photo/1x/Dough-Quiche-Tomatoes-Cheese-Vegetable-Cake-1403459.jpg
